title,location,precio,basic_features,extra_features
Piso en venta en calle Colón,Centro Tradicional,328000,"['198 m² construidos, 177 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, oeste', 'Calefacción individual: Bomba de frío/calor', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n130 kWh/m² año', 'Emisiones: \n16 kg CO2/m² año']"
Piso en venta en calle Colón,Centro Tradicional,328000,"['198 m² construidos, 177 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, oeste', 'Calefacción individual: Bomba de frío/calor', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n130 kWh/m² año', 'Emisiones: \n16 kg CO2/m² año']"
Piso en venta en calle Ángel Lozano,Centro Tradicional,320000,"['172 m² construidos, 162 m² útiles', '5 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Orientación sur, este', 'Construido en 1969', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 5ª exterior', 'Con ascensor']","['Consumo: \n103 kWh/m² año', 'Emisiones: \n21 kg CO2/m² año']"
Piso en venta en calle de Ángel Lozano,Centro Tradicional,280000,"['172 m² construidos, 162 m² útiles', '5 habitaciones', '3 baños', 'Terraza', 'Segunda mano/para reformar', 'Armarios empotrados', 'Orientación norte, este', 'Construido en 1969', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en calle del Teatro,Centro Tradicional,275000,"['122 m² construidos, 109 m² útiles', '4 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Orientación norte', 'Construido en 1955', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en Centro Tradicional,Centro,315000,"['115 m² construidos, 110 m² útiles', '4 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Planta 3ª', 'Con ascensor']",['No indicado']
Piso en venta en calle Castaños,Centro Tradicional,450000,"['129 m² construidos', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1954', 'Calefacción central', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en Centro Tradicional,Centro,299000,"['70 m² construidos, 60 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación oeste', 'Construido en 1969', 'Calefacción individual', 'Planta 1ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en avenida del Doctor Gadea,Centro Tradicional,480000,"['125 m² construidos, 110 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Calefacción individual: Bomba de frío/calor', 'Acceso y vivienda adaptados para personas con movilidad reducida', 'Planta 8ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n166 kWh/m² año', 'Emisiones: \n31 kg CO2/m² año']"
Piso en venta en calle Susana Llaneras,Centro Tradicional,259000,"['151 m² construidos, 135 m² útiles', '2 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Segunda mano/buen estado', 'Orientación sur, este', 'Construido en 1975', 'No dispone de calefacción', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo: \n22 kWh/m² año', 'Emisiones: \n25,55 kg CO2/m² año']"
Piso en venta en Centro Tradicional,Centro,315000,"['125 m² construidos, 120 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 1973', 'Calefacción individual: Gas natural', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']"
Piso en venta en Centro Tradicional,Centro,315000,"['112 m² construidos, 110 m² útiles', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1955', 'Calefacción central', 'Planta 6ª exterior', 'Con ascensor']",['No indicado']
Piso en venta en calle Bazán,Centro Tradicional,149900,"['80 m² construidos, 75 m² útiles', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Construido en 1980', 'No dispone de calefacción', 'Planta 2ª exterior', 'Sin ascensor']","['Consumo: \n142 kWh/m² año', 'Emisiones: \n42 kg CO2/m² año']"
Piso en venta en navas,Centro Tradicional,440000,"['152 m² construidos, 132 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Ático en venta en plaza de Calvo Sotelo,Centro Tradicional,1200000,"['200 m² construidos, 185 m² útiles', '4 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 8ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en avenida Doctor Ramón y Cajal,Centro Tradicional,670000,"['154 m² construidos, 130 m² útiles', '4 habitaciones', '3 baños', 'Terraza', 'Segunda mano/buen estado', 'Planta 4ª exterior', 'Con ascensor']",['En trámite']
Ático en venta en avenida Doctor Gadea,Centro Tradicional,695000,"['240 m² construidos, 196 m² útiles', '5 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 8ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Piso en venta en Centro Tradicional,Centro,325000,"['106 m² construidos, 90 m² útiles', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Construido en 2006', 'No dispone de calefacción', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
