title,location,precio,basic_features,extra_features
Piso en venta en calle de Castor,La Florida,139900,"['114 m² construidos', '3 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Orientación sur', 'Construido en 1981', 'Bajo exterior', 'Con ascensor']","['Piscina', 'Zonas verdes', 'Consumo:', 'Emisiones:']"
Piso en venta en calle de Castor,La Florida,139900,"['114 m² construidos', '3 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Orientación sur', 'Construido en 1981', 'Bajo exterior', 'Con ascensor']","['Piscina', 'Zonas verdes', 'Consumo:', 'Emisiones:']"
Piso en venta en calle Carlet,Benalúa,256900,"['151 m² construidos, 135 m² útiles', '4 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Orientación norte', 'Construido en 1977', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']","['Consumo: \n93 kWh/m² año', 'Emisiones: \n19 kg CO2/m² año']"
Piso en venta en calle García Andreu,Benalúa,205000,"['136 m² construidos, 120 m² útiles', '4 habitaciones', '2 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Construido en 1972', 'Planta 4ª exterior', 'Con ascensor']",['En trámite']
Piso en venta en calle Lafora,La Florida,118000,"['82 m² construidos', '3 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje por 10.000 € adicionales', 'Segunda mano/buen estado', 'Construido en 1993', 'Planta 2ª exterior', 'Con ascensor']","['Consumo:', 'Emisiones:']"
Ático en venta en avenida Oscar Espla,Benalúa,475000,"['190 m² construidos, 100 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Planta 7ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']"
Ático en venta en calle Ana Navarro,La Florida,165500,"['108 m² construidos, 76 m² útiles', '3 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1992', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor']","['Aire acondicionado', 'No indicado']"
Piso en venta en calle Republica Argentina,La Florida,146050,"['103 m² construidos, 86 m² útiles', '3 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte, oeste', 'Construido en 1986', 'Calefacción individual', 'Planta 2ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'En trámite']"
Piso en venta en Benalúa,Benalúa-La Florida-Babel-San Gabriel,250000,"['196 m² construidos, 172 m² útiles', '5 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte, oeste', 'Construido en 1981', 'Calefacción individual: Gas natural', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 2ª exterior', 'Con ascensor']","['Piscina', 'Zonas verdes', 'No indicado']"
Piso en venta en Benalúa,Benalúa-La Florida-Babel-San Gabriel,186000,"['108 m² construidos, 87 m² útiles', '3 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur, oeste', 'Construido en 1979', 'No dispone de calefacción', 'Planta 4ª exterior', 'Con ascensor']","['Consumo: \n109 kWh/m² año', 'Emisiones: \n27 kg CO2/m² año']"
